,v1,v2,v3,v4,v5,word_length,nltk_tokens,spaCy_tokens,nltk_lemmatization,spaCy_lemmatization
0,ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",,,,111,"['Go', 'until', 'jurong', 'point', ',', 'crazy', '..', 'Available', 'only', 'in', 'bugis', 'n', 'great', 'world', 'la', 'e', 'buffet', '...', 'Cine', 'there', 'got', 'amore', 'wat', '...']","['Go', 'until', 'jurong', 'point', ',', 'crazy', '..', 'Available', 'only', 'in', 'bugis', 'n', 'great', 'world', 'la', 'e', 'buffet', '...', 'Cine', 'there', 'got', 'amore', 'wat', '...']","['Go', 'until', 'jurong', 'point', ',', 'crazy', '..', 'Available', 'only', 'in', 'bugis', 'n', 'great', 'world', 'la', 'e', 'buffet', '...', 'Cine', 'there', 'got', 'amore', 'wat', '...']","['go', 'until', 'jurong', 'point', ',', 'crazy', '..', 'available', 'only', 'in', 'bugis', 'n', 'great', 'world', 'la', 'e', 'buffet', '...', 'Cine', 'there', 'get', 'amore', 'wat', '...']"
1,ham,Ok lar... Joking wif u oni...,,,,29,"['Ok', 'lar', '...', 'Joking', 'wif', 'u', 'oni', '...']","['Ok', 'lar', '...', 'Joking', 'wif', 'u', 'oni', '...']","['Ok', 'lar', '...', 'Joking', 'wif', 'u', 'oni', '...']","['ok', 'lar', '...', 'joke', 'wif', 'u', 'oni', '...']"
2,spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,,,,155,"['Free', 'entry', 'in', '2', 'a', 'wkly', 'comp', 'to', 'win', 'FA', 'Cup', 'final', 'tkts', '21st', 'May', '2005', '.', 'Text', 'FA', 'to', '87121', 'to', 'receive', 'entry', 'question', '(', 'std', 'txt', 'rate', ')', 'T', '&', 'C', ""'s"", 'apply', '08452810075over18', ""'s""]","['Free', 'entry', 'in', '2', 'a', 'wkly', 'comp', 'to', 'win', 'FA', 'Cup', 'final', 'tkts', '21st', 'May', '2005', '.', 'Text', 'FA', 'to', '87121', 'to', 'receive', 'entry', 'question(std', 'txt', 'rate)T&C', ""'s"", 'apply', '08452810075over18', ""'s""]","['Free', 'entry', 'in', '2', 'a', 'wkly', 'comp', 'to', 'win', 'FA', 'Cup', 'final', 'tkts', '21st', 'May', '2005', '.', 'Text', 'FA', 'to', '87121', 'to', 'receive', 'entry', 'question', '(', 'std', 'txt', 'rate', ')', 'T', '&', 'C', ""'s"", 'apply', '08452810075over18', ""'s""]","['free', 'entry', 'in', '2', 'a', 'wkly', 'comp', 'to', 'win', 'FA', 'Cup', 'final', 'tkts', '21st', 'May', '2005', '.', 'text', 'FA', 'to', '87121', 'to', 'receive', 'entry', 'question(std', 'txt', 'rate)T&C', ""'s"", 'apply', '08452810075over18', ""'s""]"
3,ham,U dun say so early hor... U c already then say...,,,,49,"['U', 'dun', 'say', 'so', 'early', 'hor', '...', 'U', 'c', 'already', 'then', 'say', '...']","['U', 'dun', 'say', 'so', 'early', 'hor', '...', 'U', 'c', 'already', 'then', 'say', '...']","['U', 'dun', 'say', 'so', 'early', 'hor', '...', 'U', 'c', 'already', 'then', 'say', '...']","['u', 'dun', 'say', 'so', 'early', 'hor', '...', 'u', 'c', 'already', 'then', 'say', '...']"
4,ham,"Nah I don't think he goes to usf, he lives around here though",,,,61,"['Nah', 'I', 'do', ""n't"", 'think', 'he', 'goes', 'to', 'usf', ',', 'he', 'lives', 'around', 'here', 'though']","['Nah', 'I', 'do', ""n't"", 'think', 'he', 'goes', 'to', 'usf', ',', 'he', 'lives', 'around', 'here', 'though']","['Nah', 'I', 'do', ""n't"", 'think', 'he', 'go', 'to', 'usf', ',', 'he', 'life', 'around', 'here', 'though']","['nah', 'I', 'do', 'not', 'think', 'he', 'go', 'to', 'usf', ',', 'he', 'live', 'around', 'here', 'though']"
5,spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",,,,148,"['FreeMsg', 'Hey', 'there', 'darling', 'it', ""'s"", 'been', '3', 'week', ""'s"", 'now', 'and', 'no', 'word', 'back', '!', 'I', ""'d"", 'like', 'some', 'fun', 'you', 'up', 'for', 'it', 'still', '?', 'Tb', 'ok', '!', 'XxX', 'std', 'chgs', 'to', 'send', ',', 'å£1.50', 'to', 'rcv']","['FreeMsg', 'Hey', 'there', 'darling', 'it', ""'s"", 'been', '3', 'week', ""'s"", 'now', 'and', 'no', 'word', 'back', '!', 'I', ""'d"", 'like', 'some', 'fun', 'you', 'up', 'for', 'it', 'still', '?', 'Tb', 'ok', '!', 'XxX', 'std', 'chgs', 'to', 'send', ',', 'å£1.50', 'to', 'rcv']","['FreeMsg', 'Hey', 'there', 'darling', 'it', ""'s"", 'been', '3', 'week', ""'s"", 'now', 'and', 'no', 'word', 'back', '!', 'I', ""'d"", 'like', 'some', 'fun', 'you', 'up', 'for', 'it', 'still', '?', 'Tb', 'ok', '!', 'XxX', 'std', 'chgs', 'to', 'send', ',', 'å£1.50', 'to', 'rcv']","['FreeMsg', 'hey', 'there', 'darle', 'it', 'be', 'be', '3', 'week', ""'s"", 'now', 'and', 'no', 'word', 'back', '!', 'I', 'would', 'like', 'some', 'fun', 'you', 'up', 'for', 'it', 'still', '?', 'tb', 'ok', '!', 'XxX', 'std', 'chgs', 'to', 'send', ',', 'å£1.50', 'to', 'rcv']"
6,ham,Even my brother is not like to speak with me. They treat me like aids patent.,,,,77,"['Even', 'my', 'brother', 'is', 'not', 'like', 'to', 'speak', 'with', 'me', '.', 'They', 'treat', 'me', 'like', 'aids', 'patent', '.']","['Even', 'my', 'brother', 'is', 'not', 'like', 'to', 'speak', 'with', 'me', '.', 'They', 'treat', 'me', 'like', 'aids', 'patent', '.']","['Even', 'my', 'brother', 'is', 'not', 'like', 'to', 'speak', 'with', 'me', '.', 'They', 'treat', 'me', 'like', 'aid', 'patent', '.']","['even', 'my', 'brother', 'be', 'not', 'like', 'to', 'speak', 'with', 'I', '.', 'they', 'treat', 'I', 'like', 'aids', 'patent', '.']"
7,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,,,,160,"['As', 'per', 'your', 'request', ""'Melle"", 'Melle', '(', 'Oru', 'Minnaminunginte', 'Nurungu', 'Vettam', ')', ""'"", 'has', 'been', 'set', 'as', 'your', 'callertune', 'for', 'all', 'Callers', '.', 'Press', '*', '9', 'to', 'copy', 'your', 'friends', 'Callertune']","['As', 'per', 'your', 'request', ""'"", 'Melle', 'Melle', '(', 'Oru', 'Minnaminunginte', 'Nurungu', 'Vettam', ')', ""'"", 'has', 'been', 'set', 'as', 'your', 'callertune', 'for', 'all', 'Callers', '.', 'Press', '*', '9', 'to', 'copy', 'your', 'friends', 'Callertune']","['As', 'per', 'your', 'request', ""'Melle"", 'Melle', '(', 'Oru', 'Minnaminunginte', 'Nurungu', 'Vettam', ')', ""'"", 'ha', 'been', 'set', 'a', 'your', 'callertune', 'for', 'all', 'Callers', '.', 'Press', '*', '9', 'to', 'copy', 'your', 'friend', 'Callertune']","['as', 'per', 'your', 'request', ""'"", 'Melle', 'Melle', '(', 'Oru', 'Minnaminunginte', 'Nurungu', 'Vettam', ')', ""'"", 'have', 'be', 'set', 'as', 'your', 'callertune', 'for', 'all', 'Callers', '.', 'Press', '*', '9', 'to', 'copy', 'your', 'friend', 'Callertune']"
8,spam,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,,,,158,"['WINNER', '!', '!', 'As', 'a', 'valued', 'network', 'customer', 'you', 'have', 'been', 'selected', 'to', 'receivea', 'å£900', 'prize', 'reward', '!', 'To', 'claim', 'call', '09061701461', '.', 'Claim', 'code', 'KL341', '.', 'Valid', '12', 'hours', 'only', '.']","['WINNER', '!', '!', 'As', 'a', 'valued', 'network', 'customer', 'you', 'have', 'been', 'selected', 'to', 'receivea', 'å£900', 'prize', 'reward', '!', 'To', 'claim', 'call', '09061701461', '.', 'Claim', 'code', 'KL341', '.', 'Valid', '12', 'hours', 'only', '.']","['WINNER', '!', '!', 'As', 'a', 'valued', 'network', 'customer', 'you', 'have', 'been', 'selected', 'to', 'receivea', 'å£900', 'prize', 'reward', '!', 'To', 'claim', 'call', '09061701461', '.', 'Claim', 'code', 'KL341', '.', 'Valid', '12', 'hour', 'only', '.']","['WINNER', '!', '!', 'as', 'a', 'value', 'network', 'customer', 'you', 'have', 'be', 'select', 'to', 'receivea', 'å£900', 'prize', 'reward', '!', 'to', 'claim', 'call', '09061701461', '.', 'claim', 'code', 'KL341', '.', 'valid', '12', 'hour', 'only', '.']"
9,spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,,,,154,"['Had', 'your', 'mobile', '11', 'months', 'or', 'more', '?', 'U', 'R', 'entitled', 'to', 'Update', 'to', 'the', 'latest', 'colour', 'mobiles', 'with', 'camera', 'for', 'Free', '!', 'Call', 'The', 'Mobile', 'Update', 'Co', 'FREE', 'on', '08002986030']","['Had', 'your', 'mobile', '11', 'months', 'or', 'more', '?', 'U', 'R', 'entitled', 'to', 'Update', 'to', 'the', 'latest', 'colour', 'mobiles', 'with', 'camera', 'for', 'Free', '!', 'Call', 'The', 'Mobile', 'Update', 'Co', 'FREE', 'on', '08002986030']","['Had', 'your', 'mobile', '11', 'month', 'or', 'more', '?', 'U', 'R', 'entitled', 'to', 'Update', 'to', 'the', 'latest', 'colour', 'mobile', 'with', 'camera', 'for', 'Free', '!', 'Call', 'The', 'Mobile', 'Update', 'Co', 'FREE', 'on', '08002986030']","['have', 'your', 'mobile', '11', 'month', 'or', 'more', '?', 'u', 'r', 'entitle', 'to', 'update', 'to', 'the', 'late', 'colour', 'mobile', 'with', 'camera', 'for', 'Free', '!', 'call', 'the', 'Mobile', 'Update', 'Co', 'free', 'on', '08002986030']"
